file_uid,annotation,type,canonical_s3_location,benchmarks
8a7d977a-293e-4411-a56f-56dff0a907cd,narrations,file,s3://ego4d-consortium-sharing/public/v2/annotations/narration.json,
00b21a03-3383-414e-b7b6-ae271ab7e61a,narration_noun_taxonomy,file,s3://ego4d-consortium-sharing/public/v1/annotations/narration_noun_taxonomy.csv,
2709a941-c6e4-4487-983f-dd515b0e2e8a,narration_verb_taxonomy,file,s3://ego4d-consortium-sharing/public/v1/annotations/narration_verb_taxonomy.csv,
03e664e8-695f-4344-8e14-e88bb09657cf,all_narrations_redacted,file,s3://ego4d-consortium-sharing/public/v2/annotations/all_narrations_redacted.json,
b63237d0-5d78-472b-a5d9-8f72e83dd880,av_train,file,s3://ego4d-consortium-sharing/public/v1/annotations/av_train.json,[AV]
e89faf70-65d5-43be-9cb1-3e0798a79d9f,av_val,file,s3://ego4d-consortium-sharing/public/v1/annotations/av_val.json,[AV]
cf0d2800-53cf-4378-8949-9e81add152aa,av_test_unannotated,file,s3://ego4d-consortium-sharing/public/v1/annotations/av_test_unannotated.json,[AV]
9e8c8180-da2f-4e9f-a916-8efb7aebab94,moments_train,file,s3://ego4d-consortium-sharing/public/v1/annotations/moments_train.json,[EM|MQ]
24d98ca9-b2ae-4809-98ad-9cc4bf51a558,moments_val,file,s3://ego4d-consortium-sharing/public/v1/annotations/moments_val.json,[EM|MQ]
fd9b98c0-615c-49bb-b28f-c6f19d0c88e5,moments_test_unannotated,file,s3://ego4d-consortium-sharing/public/v1/annotations/moments_test_unannotated.json,[EM|MQ]
8ee00d21-c4da-4fe3-950e-91ef85975f77,nlq_train,file,s3://ego4d-consortium-sharing/public/v2/annotations/nlq_train.json,[EM|NLQ]
4d9f57ad-f54b-4ec8-9e7e-f3f091281acf,nlq_val,file,s3://ego4d-consortium-sharing/public/v2/annotations/nlq_val.json,[EM|NLQ]
04831318-f39d-466d-982e-bd2c25c708ec,nlq_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2/annotations/nlq_test_unannotated.json,[EM|NLQ]
6f944e51-49ce-4b72-b21d-acd2dac535fc,vq_train,file,s3://ego4d-consortium-sharing/public/v1_0_5/annotations/vq_train.json,[EM|VQ]
fd8504da-d278-4f61-89be-bf935e44bc54,vq_val,file,s3://ego4d-consortium-sharing/public/v1_0_5/annotations/vq_val.json,[EM|VQ]
99a02d76-560d-460a-8648-e0485425fd5c,vq_test_unannotated,file,s3://ego4d-consortium-sharing/public/v1_0_5/annotations/vq_test_unannotated.json,[EM|VQ]
5c1376b1-6284-407a-ad94-5c956b1e0ca6,fho_main,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_main.json,[FHO]
4d9002c7-b0e5-46e8-93f2-b8d6c9295c03,fho_hands_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_hands_test_unannotated.json,[FHO|HANDS]
dae222d1-16eb-4ac9-a6dd-489481de8e7b,fho_lta_train,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_lta_train.json,[FHO|LTA]
7e22bc02-ae66-42aa-a0d1-1680ba63441a,fho_lta_val,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_lta_val.json,[FHO|LTA]
2ef0055f-9bb5-4826-b6f7-c78c331aacf9,fho_lta_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_lta_test_unannotated.json,[FHO|LTA]
3a9f2626-a3e5-4e78-a925-2f1247f2f72a,fho_lta_taxonomy,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_lta_taxonomy.json,[FHO|LTA]
28dd7a76-7bc4-4909-8cee-4a1567c2f74c,fho_oscc-pnr_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_oscc-pnr_test_unannotated.json,[FHO|OSCC]
d7b9c26b-e4c0-49df-8ac9-11dc1555d05d,fho_oscc-pnr_train,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_oscc-pnr_train.json,[FHO|OSCC]
7107aecd-1f5f-43a2-b1cc-0d8fa0c857a3,fho_oscc-pnr_val,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_oscc-pnr_val.json,[FHO|OSCC]
714350ee-eb40-449d-9123-f9d36ae87912,fho_sta_train,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_sta_train.json,[FHO|STA]
99879e7a-d528-483c-a09f-7c4cc115d175,fho_sta_val,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_sta_val.json,[FHO|STA]
80739116-4244-471e-a3fb-f638a28cb93c,fho_sta_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_sta_test_unannotated.json,[FHO|STA]
8654f85c-fc5d-4b2a-934e-a5230e45680a,fho_main_taxonomy,file,s3://ego4d-consortium-sharing/public/v2/annotations/fho_main_taxonomy.json,[FHO]
5f9a8baa-cef4-4101-b0c5-e52b8b54e672,goalstep_train,file,s3://ego4d-consortium-sharing/public/v2_1/annotations/goalstep_train.json,[goalstep]
dcb44f1d-41d4-45dd-afec-37bdb91cb20d,goalstep_val,file,s3://ego4d-consortium-sharing/public/v2_1/annotations/goalstep_val.json,[goalstep]
6a6cece4-95b6-46fb-b6c7-35b91696ce3c,goalstep_trainval,file,s3://ego4d-consortium-sharing/public/v2_1/annotations/goalstep_trainval.json,[goalstep]
d366c12c-034b-4137-bd02-722d1e74f34a,goalstep_test_unannotated,file,s3://ego4d-consortium-sharing/public/v2_1/annotations/goalstep_test_unannotated.json,[goalstep]
